x,y
0.1084,0.7154
0.1084,0.7173
0.118,0.7173
0.118,0.7192
0.1258,0.7192
0.1258,0.7211
0.1271,0.7211
0.1271,0.723
0.1338,0.723
0.1338,0.7249
0.137,0.7249
0.137,0.7268
0.1428,0.7268
0.1428,0.7287
0.146,0.7287
0.146,0.7306
0.1505,0.7306
0.1505,0.7324
0.1642,0.7324
0.1642,0.7343
0.171,0.7343
0.171,0.7381
0.1765,0.7381
0.1765,0.74
0.1797,0.74
0.1797,0.7419
0.1869,0.7419
0.1869,0.7438
0.1892,0.7438
0.1892,0.7457
0.1958,0.7457
0.1958,0.7476
0.1979,0.7476
0.1979,0.7495
0.2047,0.7495
0.2047,0.7514
0.2048,0.7514
0.2048,0.7533
0.2166,0.7533
0.2166,0.7552
0.2225,0.7552
0.2225,0.7571
0.2255,0.7571
0.2255,0.759
0.2348,0.759
0.2348,0.7609
0.244,0.7609
0.244,0.7628
0.254,0.7628
0.254,0.7647
0.2633,0.7647
0.2633,0.7666
0.2648,0.7666
0.2648,0.7685
0.2794,0.7685
0.2794,0.7704
0.2919,0.7704
0.2919,0.7723
0.3038,0.7723
0.3038,0.7742
0.3081,0.7742
0.3081,0.7761
0.316,0.7761
0.316,0.778
0.326,0.778
0.326,0.7799
0.3443,0.7799
0.3443,0.7818
0.3529,0.7818
0.3529,0.7837
0.3607,0.7837
0.3607,0.7856
0.3766,0.7856
0.3766,0.7875
0.3877,0.7875
0.3877,0.7894
0.3924,0.7894
0.3924,0.7913
0.3987,0.7913
0.3987,0.7932
0.4059,0.7932
0.4059,0.7951
0.4075,0.7951
0.4075,0.797
0.4094,0.797
0.4094,0.7989
0.412,0.7989
0.412,0.8008
0.4125,0.8008
0.4125,0.8027
0.4184,0.8027
0.4184,0.8046
0.4294,0.8046
0.4294,0.8065
0.4418,0.8065
0.4418,0.8083
0.4548,0.8083
0.4548,0.8102
0.4718,0.8102
0.4718,0.8121
0.4733,0.8121
0.4733,0.814
0.4817,0.814
0.4817,0.8159
0.4894,0.8159
0.4894,0.8178
0.4902,0.8178
0.4902,0.8197
0.5009,0.8197
0.5009,0.8216
0.5105,0.8216
0.5105,0.8235
0.5161,0.8235
0.5161,0.8254
0.5274,0.8254
0.5274,0.8273
0.5384,0.8273
0.5384,0.8292
0.5452,0.8292
0.5452,0.8311
0.5533,0.8311
0.5533,0.833
0.5621,0.833
0.5621,0.8349
0.5665,0.8349
0.5665,0.8368
0.5673,0.8368
0.5673,0.8387
0.5721,0.8387
0.5721,0.8406
0.576,0.8406
0.576,0.8425
0.5764,0.8425
0.5764,0.8444
0.58,0.8444
0.58,0.8463
0.5833,0.8463
0.5833,0.8482
0.5869,0.8482
0.5869,0.8501
0.5907,0.8501
0.5907,0.852
0.596,0.852
0.596,0.8558
0.5991,0.8558
0.5991,0.8577
0.6022,0.8577
0.6022,0.8596
0.6091,0.8596
0.6091,0.8615
0.6204,0.8615
0.6204,0.8634
0.6298,0.8634
0.6298,0.8653
0.6428,0.8653
0.6428,0.8672
0.6533,0.8672
0.6533,0.8691
0.6695,0.8691
0.6695,0.871
0.6706,0.871
0.6706,0.8729
0.6716,0.8729
0.6716,0.8748
0.6803,0.8748
0.6803,0.8767
0.6812,0.8767
0.6812,0.8786
0.6838,0.8786
0.6838,0.8805
0.6839,0.8805
0.6839,0.8824
0.6886,0.8824
0.6886,0.8843
0.6904,0.8843
0.6904,0.8861
0.693,0.8861
0.693,0.888
0.6949,0.888
0.6949,0.8899
0.699,0.8899
0.699,0.8918
0.6997,0.8918
0.6997,0.8937
0.7007,0.8937
0.7007,0.8956
0.7033,0.8956
