x,y
0.1921,0.8924
0.1981,0.8924
0.1981,0.893
0.2001,0.893
0.2001,0.8936
0.206,0.8936
0.206,0.8943
0.2063,0.8943
0.2063,0.8949
0.2067,0.8949
0.2067,0.8955
0.208,0.8955
0.208,0.8962
0.211,0.8962
0.211,0.8968
0.2285,0.8968
0.2285,0.8974
0.2391,0.8974
0.2391,0.898
0.2424,0.898
0.2424,0.8993
0.2437,0.8993
0.2437,0.8999
0.2454,0.8999
0.2454,0.9006
0.2467,0.9006
0.2467,0.9012
0.2546,0.9012
0.2546,0.9018
0.2612,0.9018
0.2612,0.9025
0.2616,0.9025
0.2616,0.9031
0.2629,0.9031
0.2629,0.9043
0.2722,0.9043
0.2722,0.9056
0.2874,0.9056
0.2874,0.9062
0.3069,0.9062
0.3069,0.9069
0.3095,0.9069
0.3095,0.9075
0.3122,0.9075
0.3128,0.9075
0.3165,0.9075
0.3165,0.9081
0.3185,0.9081
0.3185,0.9087
0.3228,0.9087
0.3228,0.9094
0.3304,0.9094
0.3304,0.91
0.3313,0.91
0.3313,0.9113
0.332,0.9113
0.332,0.9119
0.3323,0.9119
0.3323,0.9125
0.3333,0.9125
0.3333,0.9132
0.334,0.9132
0.334,0.9144
0.3419,0.9144
0.3419,0.915
0.3796,0.915
0.3796,0.9157
0.3823,0.9157
0.3823,0.9163
0.3909,0.9163
0.3909,0.9169
0.414,0.9169
0.414,0.9176
0.4147,0.9176
0.4147,0.9182
0.4163,0.9182
0.4163,0.9188
0.4233,0.9188
0.4233,0.9194
0.4365,0.9194
0.4365,0.9201
0.4372,0.9201
0.4372,0.9207
0.4385,0.9207
0.4385,0.9213
0.4398,0.9213
0.4398,0.922
0.4676,0.922
0.4676,0.9226
0.4735,0.9226
0.4735,0.9232
0.4739,0.9232
0.4739,0.9239
0.4874,0.9239
0.4874,0.9245
0.4891,0.9245
0.4891,0.9251
0.494,0.9251
0.494,0.9257
0.4947,0.9257
0.4947,0.9264
0.495,0.9264
0.495,0.927
0.4977,0.927
0.4977,0.9276
0.5007,0.9276
0.5007,0.9283
0.5026,0.9283
0.5026,0.9308
0.5033,0.9308
0.5033,0.9314
0.5086,0.9314
0.5086,0.932
0.5099,0.932
0.5099,0.9333
0.5103,0.9333
0.5103,0.9339
0.5109,0.9339
0.5109,0.9352
0.5116,0.9352
0.5116,0.9364
0.5165,0.9364
0.5165,0.9371
0.5182,0.9371
0.5182,0.9377
0.5202,0.9377
0.5202,0.9383
0.5212,0.9383
0.5212,0.939
0.5215,0.939
0.5215,0.9396
0.5251,0.9396
0.5251,0.9402
0.5255,0.9402
0.5255,0.9408
0.5271,0.9408
0.5271,0.9415
0.5291,0.9415
0.5291,0.9421
0.5304,0.9421
0.5304,0.9427
0.5387,0.9427
0.5387,0.9434
0.5397,0.9434
0.5397,0.944
0.5536,0.944
0.5536,0.9446
0.5599,0.9446
0.5599,0.9452
0.5618,0.9452
0.5618,0.9459
0.5632,0.9459
0.5632,0.9465
0.5655,0.9465
0.5655,0.9471
0.5685,0.9471
0.5685,0.9478
0.5893,0.9478
0.5893,0.9484
0.5896,0.9484
0.5896,0.949
0.6376,0.949
0.6376,0.9497
0.6878,0.9497
0.6878,0.9503
0.71,0.9503
0.71,0.9509
0.7259,0.9509
0.7259,0.9515
0.7298,0.9515
0.7298,0.9522
0.7424,0.9522
0.7424,0.9528
0.7444,0.9528
0.7444,0.9541
0.751,0.9541
0.751,0.9547
0.7569,0.9547
0.7569,0.9553
0.7612,0.9553
0.7612,0.9559
0.7626,0.9559
0.7626,0.9566
0.7669,0.9566
0.7669,0.9572
0.7685,0.9572
0.7685,0.9578
0.7722,0.9578
0.7722,0.9585
0.7728,0.9585
0.7728,0.9591
0.7735,0.9591
0.7735,0.9597
0.7751,0.9597
0.7751,0.9604
0.7755,0.9604
0.7755,0.961
0.7765,0.961
0.7765,0.9622
0.7778,0.9622
0.7784,0.9622
0.791,0.9622
0.791,0.9629
0.7937,0.9629
0.7937,0.9635
0.794,0.9635
0.794,0.9641
0.7946,0.9641
0.7946,0.9648
0.7953,0.9648
0.7953,0.966
0.7973,0.966
0.7973,0.9666
0.7993,0.9666
0.7993,0.9673
0.8042,0.9673
0.8042,0.9685
0.8052,0.9685
0.8052,0.9692
0.8069,0.9692
0.8069,0.9698
0.8072,0.9698
0.8072,0.9704
0.8075,0.9704
0.8075,0.9711
0.8095,0.9711
0.8095,0.9717
0.8102,0.9717
0.8102,0.9723
0.8105,0.9723
0.8105,0.9729
0.8122,0.9729
0.8122,0.9736
