x,y
0.2576,0.8468
0.2576,0.8485
0.2619,0.8485
0.2619,0.8519
0.2627,0.8519
0.2627,0.8535
0.2904,0.8535
0.2904,0.8552
0.2913,0.8552
0.2913,0.8569
0.2956,0.8569
0.2956,0.8603
0.2965,0.8603
0.2965,0.862
0.3042,0.862
0.3042,0.8636
0.3103,0.8636
0.3103,0.8653
0.3137,0.8653
0.3137,0.867
0.3146,0.867
0.3146,0.8687
0.3189,0.8687
0.3189,0.8704
0.3267,0.8704
0.3267,0.8737
0.3302,0.8737
0.3302,0.8754
0.3345,0.8754
0.3345,0.8771
0.3379,0.8771
0.3379,0.8788
0.3423,0.8788
0.3423,0.8822
0.3509,0.8822
0.3509,0.8838
0.357,0.8838
0.357,0.8855
0.3682,0.8855
0.3682,0.8906
0.3699,0.8906
0.3699,0.8923
0.3742,0.8923
0.3742,0.8939
0.3794,0.8939
0.3794,0.8973
0.3812,0.8973
0.3812,0.899
0.3984,0.899
0.3984,0.9007
0.4028,0.9007
0.4028,0.9024
0.4054,0.9024
0.4054,0.9057
0.4097,0.9057
0.4097,0.9074
0.4105,0.9074
0.4105,0.9091
0.4123,0.9091
0.4123,0.9141
0.4149,0.9141
0.4149,0.9158
0.4296,0.9158
0.4296,0.9175
0.4313,0.9175
0.4313,0.9209
0.4347,0.9209
0.4347,0.9226
0.4373,0.9226
0.4373,0.9242
0.4391,0.9242
0.4391,0.9259
0.4443,0.9259
0.4443,0.9276
0.4512,0.9276
0.4512,0.9293
0.4529,0.9293
0.4529,0.931
0.4598,0.931
0.4598,0.9343
0.465,0.9343
0.465,0.936
0.4693,0.936
0.4693,0.9377
0.4719,0.9377
0.4719,0.9394
0.478,0.9394
0.478,0.9411
0.4797,0.9411
0.4797,0.9428
0.4806,0.9428
0.4806,0.9444
0.4814,0.9444
0.4814,0.9461
0.4875,0.9461
0.4875,0.9495
0.4892,0.9495
0.4892,0.9529
0.5013,0.9529
0.5013,0.9562
0.5134,0.9562
0.5134,0.9579
0.516,0.9579
0.516,0.9596
0.5341,0.9596
0.5341,0.9613
0.554,0.9613
0.554,0.963
0.5653,0.963
0.5653,0.9663
0.5843,0.9663
0.5843,0.968
0.586,0.968
0.586,0.9697
0.605,0.9697
0.605,0.9714
0.6085,0.9714
0.6085,0.9731
0.6102,0.9731
0.6102,0.9747
0.6258,0.9747
0.6258,0.9764
0.6301,0.9764
0.6301,0.9781
0.6404,0.9781
0.6404,0.9798
0.6595,0.9798
0.6595,0.9815
0.6603,0.9815
0.6603,0.9832
0.669,0.9832
0.669,0.9848
0.6698,0.9848
0.6698,0.9865
0.6845,0.9865
0.6845,0.9882
0.7001,0.9882
0.7001,0.9899
0.7027,0.9899
0.7027,0.9916
0.7191,0.9916
0.7191,0.9949
0.745,0.9949
0.745,0.9966
0.7606,0.9966
0.7606,0.9983
0.7675,0.9983
0.7675,1.0
1.0,1.0
