,D,Memory
0,100,31.00018225585938
1,200,52.84935360351563
2,400,91.97551885742187
3,800,178.25143197265626
4,1600,274.74844007812504
5,3200,634.493300390625
6,6400,2102.7607893652344
7,10000,4776.47031671875
