,D,Memory
0,100,31.00018225585938
1,200,54.91784149414063
2,400,100.20851026367188
3,800,212.08452103515626
4,1600,651.5521814648438
5,3200,2359.079719140625
6,6400,8961.129351865235
7,10000,OOM
