,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,0.30405593,0.31819806,0.3040559,0.27577165,0.2404163,0.22627416,0.23334524,0.22627418,0.2404163,0.25455844,0.23334523,0.23334524,0.24748738,0.2404163,0.2828427,0.33941123,0.31819803,0.27577165,0.31819806,0.41012195,0.28991377,0.11313709,0.070710674,0.070710674,0.077781744,0.049497474,0.02828427,0.02828427,0.05656854,0.070710674,0.049497474,0.05656854,0.056568544,0.04949747,0.05656854,0.049497474,0.04949747,0.049497474,0.05656854,0.056568544,0.05656854,0.06363961,0.049497474,0.042426404,0.16263455
1,0.14183997,0.14722033,0.13406745,0.10716415,0.10327789,0.11194702,0.101484664,0.09296545,0.105221726,0.10836058,0.10746397,0.1100046,0.12211098,0.1366088,0.14154086,0.14991087,0.14632373,0.12106446,0.14109255,0.17920561,0.14542712,0.09565599,0.06606216,0.0482763,0.042746726,0.03557242,0.031985268,0.031387057,0.041101996,0.043941736,0.034974206,0.032433573,0.032283667,0.032433573,0.03228437,0.03288188,0.032582775,0.030938748,0.03691734,0.039159574,0.033330187,0.032283667,0.031985268,0.03064035,0.08624016
2,0.16356947,0.16584338,0.16216905,0.1525479,0.14747526,0.14625026,0.13977723,0.13347958,0.13260467,0.13190517,0.13103098,0.13033076,0.13312948,0.13855292,0.14380094,0.15009858,0.15307269,0.14817478,0.15149899,0.16759318,0.16724308,0.15202309,0.1354034,0.11843428,0.104964115,0.09254354,0.082047485,0.07365064,0.06945221,0.06577789,0.060004346,0.055631224,0.052307714,0.049508292,0.047233675,0.04583467,0.04443567,0.042685855,0.04321066,0.043386064,0.041636247,0.040586643,0.039537035,0.03866213,0.100591
3,0.15721741,0.15907568,0.15888971,0.1561023,0.15461597,0.15443,0.15201381,0.1492264,0.14829727,0.14755408,0.14681092,0.14606705,0.14643899,0.14792603,0.14941236,0.15182784,0.15368612,0.15238576,0.15368682,0.16019079,0.1613059,0.15666021,0.15089941,0.14420947,0.13807674,0.13175803,0.12581126,0.120236434,0.11596198,0.11205945,0.10722779,0.102767356,0.09867887,0.09496232,0.09143174,0.08827238,0.085113026,0.081953675,0.07990943,0.07786518,0.07526373,0.07284826,0.07061805,0.06838783,0.11187348
4,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423,0.81983423
5,0.99142945,0.99873245,1.0603596,1.1777959,1.237299,1.2392379,1.2412143,1.2434359,1.1877251,1.0766718,1.0258825,1.030203,1.0319213,1.0336394,1.0352969,1.0367938,1.0382541,1.0398867,1.1218885,1.0178802,0.61323696,0.31230715,0.1154472,0.02332038,0.069752544,0.11672423,0.16435848,0.21347836,0.26386255,0.31195146,0.35845718,0.40574777,0.4530631,0.50003546,0.54678655,0.5936352,0.6413063,0.6889044,0.735705,0.7828365,0.83013976,0.87681735,0.9234821,0.9700607,0.9899686
6,0.5736598,0.57358813,0.6291593,0.74044484,0.7961831,0.7962902,0.7966115,0.7971709,0.7415281,0.6296955,0.57380307,0.5738624,0.57392174,0.5739934,0.574065,0.57410043,0.5741475,0.5742669,0.6521905,0.6819936,0.54464257,0.35937363,0.13170955,0.0014400417,0.0043917657,0.007546108,0.010878465,0.015615406,0.021114338,0.024304138,0.026339736,0.02926758,0.032516718,0.03577816,0.03901572,0.04215776,0.045311384,0.048286986,0.050774857,0.053322066,0.05584539,0.05770153,0.059331886,0.061260387,0.31800175
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0013194613,0.0007919596,0.0003959798,0.0004617407,0.00032951173,0.0001979899,0.00026445792,0.0001979899,0.00013152187,0.00065973063,0.0007919596,0.0001979899,0.0,0.00013222896,0.0001979899,6.5760934e-05,0.0,0.0,6.5760934e-05,0.01813941,0.031199673,0.02282258,0.017546147,0.022163555,0.022163555,0.014775704,0.013719992,0.013522002,0.015632717,0.015632717,0.013390481,0.013324719,0.013522002,0.013455534,0.013653524,0.014643474,0.014248201,0.013258251,0.013258251,0.01339048,0.013456241,0.013456241,0.013456241,0.013456241,0.007453612
9,8.768124e-05,8.768124e-05,6.929646e-05,0.0016221028,0.0016221028,1.4142134e-05,7.0710676e-06,1.4142135e-05,2.1213202e-05,0.00010535891,9.828784e-05,1.4142135e-05,1.4142134e-05,4.0305087e-05,5.5154327e-05,1.8384775e-05,3.5355338e-06,7.0710676e-06,6.2225394e-05,0.11538286,0.46927848,0.4901855,0.25938728,0.37780714,0.44502047,0.30526012,0.22958766,0.22954029,0.2393705,0.23728453,0.22736736,0.22742957,0.2244067,0.2243954,0.22274359,0.23188081,0.23523179,0.22638659,0.22581385,0.2288254,0.23013073,0.23104572,0.231243,0.22618224,0.11202481
