,0,1,2,3,4,5,6,7,8,9,10,11
0,0.026316192,0.026315652,0.026315618,0.026315488,0.026317038,0.026316676,0.026315488,0.026315441,0.026311683,0.026317988,0.026315909,0.026307182
1,0.026316177,0.026315624,0.026315589,0.02631546,0.026317043,0.026316665,0.02631546,0.026315412,0.026311561,0.026318029,0.026315909,0.026307015
2,0.026316168,0.026315613,0.026315581,0.026315458,0.026317062,0.026316646,0.026315458,0.026315404,0.026311528,0.026318038,0.026315898,0.026306963
3,0.026316162,0.026315585,0.026315555,0.026315438,0.02631716,0.02631661,0.026315438,0.026315385,0.026311414,0.02631811,0.026315926,0.026306815
4,0.026316179,0.026315598,0.02631557,0.026315462,0.026317367,0.026316473,0.026315462,0.026315417,0.026311435,0.026318468,0.026316373,0.026307171
5,0.026316222,0.02631577,0.026315736,0.026315542,0.026316322,0.026316766,0.026315542,0.026315494,0.026311932,0.026318016,0.026316445,0.02630803
6,0.026316162,0.026315585,0.026315555,0.026315438,0.02631716,0.02631661,0.026315438,0.026315385,0.026311414,0.02631811,0.026315926,0.026306815
7,0.026316166,0.026315602,0.026315568,0.026315449,0.02631713,0.026316619,0.026315449,0.026315399,0.026311483,0.026318094,0.026315928,0.02630692
8,0.026316319,0.026315765,0.026315713,0.026315497,0.026316663,0.026317012,0.026315497,0.026315484,0.026312342,0.02631801,0.026315551,0.026306964
9,0.026316207,0.026315708,0.026315674,0.026315538,0.026317114,0.026316883,0.026315538,0.026315512,0.026311751,0.02631719,0.026315449,0.026307339
10,0.02631606,0.026315523,0.026315505,0.026315404,0.026316745,0.02631645,0.026315404,0.026315335,0.02631095,0.02631806,0.026315963,0.026307523
11,0.026316296,0.026315678,0.02631564,0.026315486,0.026317053,0.02631701,0.026315486,0.02631546,0.026311543,0.026317105,0.026314748,0.026306067
